# Shipments,sZip,sState,cZip,cState,Weight,Charge,preferred_loc,preferred_state,differnece_distance,Estimated $,Savings
11398,N8W0A7,ON,V2X8G1,BC,303,$439.98 ,90630,CA,864,$102.98 ,$337 
15940,54942,WI,33169,FL,764,$440.59 ,N8W0A7,ON,210,$103.59 ,$337 
15823,53142,WI,85284,AZ,927,$439.43 ,90630,CA,1101,$103.43 ,$336 
15808,53142,WI,21287,MD,1316,$437.91 ,N8W0A7,ON,237,$102.91 ,$335 
16104,53142,WI,98072,WA,1342,$592.66 ,90630,CA,710,$263.66 ,$329 
7952,N8W0A7,ON,V4N3S4,BC,120,$432.45 ,90630,CA,867,$103.45 ,$329 
10601,N8W0A7,ON,V5A1X8,BC,159,$430.75 ,90630,CA,871,$103.75 ,$327 
15869,53142,WI,28273,NC,1753,$429.46 ,N8W0A7,ON,132,$103.46 ,$326 
10015,N8W0A7,ON,V3K6Y7,BC,116,$429.58 ,90630,CA,869,$103.58 ,$326 
8425,N8W0A7,ON,V3Z3S9,BC,217,$426.97 ,90630,CA,861,$102.97 ,$324 
